UniqueID,IDname,IDyear,Title,CAname,CAinst1,CAcountry,CAinst2,CAcountry2,Caspecialty,Caquali,AuthorNum,InstitNum,AuthorOvNum,InstitOvNum,SpecialtyNum,JournalName(fullname),JournalLoc,JournalScop,JournalSubscribe,Article,Field,Level,Class,CatQuanti,DataCollect,Began,Completed,StudySitesNum,Setting,Setting.1,Condition_primary,Condition_secondary,SubjMeasure,ObjMeasure,Intervention
10,Shafie AA,2009,"Compliance towards dispensed medication labelling standards: a cross-sectional study in the state of Penang, Malaysia",Shafie AA,Universiti Sains Malaysia,Malaysia,"School of Pharmacy and Biomedical Sciences, Faculty of Health Science, Curtin University, Perth, Western Australia",Malaysia,Pharmacy,phd (non-clinician),5,3,0,0,11,Current Drug Safety,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2007,2007,154,combined,Community,(A) General and unspecified,NA,,,No intervention
11,A Abdullah,2016,What influences patients’ acceptance of a blood pressure telemonitoring service in primary care? A qualitative study,Adina Abdullah,University of Malaya,Malaysia,,,Family medicine,master (mmed),7,1,0,0,2,Patient Preference and Adherence,international - out of asia,General- multidiscplinary,1,research - original and reviews,Health services,"Primary (include case reports, case series)",qualitative,prevalence,Cross-sectional,Aug-12,Sep-12,1 urban primary care clinic,kuala lumpur,Clinic,(K) Circulatory,NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
12,A Baharudin,2019,Using Patient Profiles To Guide The Choice Of Antihistamines In The Primary Care Setting In Malaysia: Expert Consensus And Recommendations.,Abdullah Baharudin,Universiti Sains Malaysia,Malaysia,,,ENT,not stated,8,8,1,1,4,Therapeutics and clinical risk managemen,international - out of asia,Specific- discpline-specific,1,commentary,Clinical,Opinion,qualitative,diagnostic,Secondary data retrieval,2019,2019,not applicable,malaysia,University/college/teaching centre,(S) Skin,NA,Subjective- self-report,,No intervention
13,A Loganathan,2016,Views and experiences of Malaysian older persons about falls and their prevention-A qualitative study,Annaletchumy Loganathan,"Universiti Tunku Abdul Rahman, Malaysia",Malaysia,,,Other biomedicals,phd (non-clinician),3,2,0,0,2,BMC Geriatric,international - out of asia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",Qualitative (include case reports here),,Cross-sectional,2016,2016,1,kuala lumpur,Hospital,(A) General and unspecified,(N) Neurological,Subjective- self-report,,No intervention
14,A Loganathan,2015,"Barriers faced by healthcare professionals when managing falls in older people in Kuala Lumpur, Malaysia: a qualitative study",Annaletchumy Loganathan,"Universiti Tunku Abdul Rahman, Malaysia",Malaysia,,,Other biomedicals,phd (non-clinician),4,2,0,0,3,BMJ Open,international - out of asia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",Qualitative (include case reports here),,Cross-sectional,2015,2015,1,kuala lumpur,Hospital,(A) General and unspecified,(A) General and unspecified,Subjective- self-report,,No intervention
15,A Maha,2010,Attitude towards sex: study of secondary schoolchildren in Selangor state,Abdullah Maha,Universiti Putra Malaysia,Malaysia,,,Other biomedicals,phd (non-clinician),15,1,0,0,3,Malaysian Journal of Medicine and Health Sciences,local - malaysia,General- multidiscplinary,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,psychometric study,Cross-sectional,2008,2008,"4 districts, 12 schools",selangor,University/college/teaching centre,(Z) Social problems,NA,Subjective- self-report,,No intervention
16,A R Norazida,2014,Cough and cold medication in children: a public health concern,Sivasampu S,"Healthcare Statistics Unit, Clinical Research Centre, Ministry of Health Malaysi",Malaysia,,,Public health,"master (non-mmed) eg. mrcp, etc.",3,2,0,0,1,Medical Journal of Malaysia,local - malaysia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2009,2010,150,clinic,Clinic,(R) Respiratory,NA,,,Drug
17,A Rashid K,2006,The Prevalence of Cognitive Impairment and Depression and Their Associated Factors in an Elderly Population in Two Villages in Kedah,A Rashid K,"Dept of Community Medicine, Faculty of Medicine, Health and Sciences, School of Medicine, Asian Institute of Medicine, Science and Technology, 2 Persiaran Cempaka, Amanjaya, 08000 Sungai Petani, Kedah",Malaysia,,,Public health,phd (non-clinician),3,2,0,0,2,Malaysian Journal of Public Health Medicine,local - malaysia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2006,2006,2 coastal villages,kedah,Community,(N) Neurological,(P) Psychological,Subjective- self-report,Objective- operator dependence,No intervention
18,AA Ab Rahman,2011,"Prevalence of erectile dysfunction in primary care setting, Malaysia",Asnida AnjangAb Rahman,University of Malaya,Malaysia,,,Public health,md (postgraduate),3,2,0,0,2,Journal of Men's Health,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,,2011,5 clinics in Petaling,selangor,Clinic,(Y) Male genital system,NA,Subjective- self-report,,No intervention
19,AA Ab Rahman,2011,Help seeking behaviour among men with erectile dysfunction in primary care setting,Asnida AnjangAb Rahman,University of Malaya,Malaysia,,,Public health,md (postgraduate),3,2,0,0,2,Journal of Men's Health,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,,2011,1 urban district,,Clinic,(Y) Male genital system,NA,Subjective- self-report,,No intervention
20,AA Bakar,2015,Job satisfaction and perceived future roles of Malaysian dental therapists: findings from a national survey,Dr N.A. Mohd Nor,Department of Community Oral Health & Clinical Prevention Faculty of Dentistry University Malaya Kuala Lumpur 50603 Malaysia,Malaysia,,,Other biomedicals,phd (clinician),4,2,0,0,1,International journal of dental hygiene,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Health services,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2014,2014,public sector,malaysia,Clinic,(P) Psychological,NA,Subjective- self-report,,No intervention
21,AB Azraii,2018,"Knowledge, awareness and practice regarding familial hypercholesterolaemia among primary care physicians in Malaysia: The importance of professional training",Anis Safura Ramli,"Institute of Pathology, Laboratory and Forensic Medicine (I-PPerForM), Universiti Teknologi MARA (UiTM), Sungai Buloh Campus, Jalan Hospital, 47000 Sungai Buloh, Selangor",Malaysia,"Department of Primary Care Medicine, Faculty of Medicine, Universiti Teknologi MARA (UiTM), Selayang Campus, Jalan Prima Selayang 7, 68100 Batu Caves, Selangor, Malaysia",Malaysia,Family medicine,"master (non-mmed) eg. mrcp, etc.",8,3,1,1,3,Atherosclerosis,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Mar-17,Aug-17,various educational event,malaysia,University/college/teaching centre,"(T) Endocrine, metabolic and nutritional",NA,Subjective- self-report,,No intervention
22,Ab Majid NL,2018,"Prevalence, Awareness, Treatment and Control of hypertension in the Malaysian population: findings from the National Health and Morbidity Survey 2006-2015",Ab Majid NL,"Institute for Public Health, Bangsar, Kuala Lumpur",Malaysia,,,Public health,md (postgraduate),10,3,0,0,2,Journal of human hypertension,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Public health,Secondary (database),quantitative,prevalence,Secondary data retrieval,not stated,2018,14 states,malaysia,Community,(K) Circulatory,NA,,Objective- non-operator-dependence eg. lab analyser,No intervention
23,Ab Rahman N,2008,Use of CPG on management of type 2 diabetes among diabetes care teams in North-East Malaysia,Nor Azlina A Rahman,International Islamic University of Malaysia,Malaysia,,,Public health,master (mmed),3,1,0,0,1,International Medical Journal,international - out of asia,General- multidiscplinary,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2013,2013,,kelantan,Combined,"(T) Endocrine, metabolic and nutritional",NA,Subjective- self-report,,No intervention
24,Ab Rahman N,2008,Factors Associated with HbA1C Levels in Poorly Controlled Type 2 Diabetic Patients in North-East Malaysia,Nor Azlina A Rahman,Universiti Sains Malaysia,Malaysia,,,Public health,master (mmed),4,1,0,0,2,International Medical Journal,international - out of asia,General- multidiscplinary,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Aug-05,Oct-05,,kelantan,Combined,"(T) Endocrine, metabolic and nutritional",NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
25,Abai G,2011,Improving the Knowledge and Practice On Early Detection of Neonatal Jaundice by Nurses in Kuching District,Gadun Abai,"Maternal and Child Health Section, Kuching Divisional Health Office",Malaysia,,,Paediatric,not stated,6,1,0,0,1,International Journal of Public Health Research,local - malaysia,Specific- discpline-specific,1,research - original and reviews,Education,"Primary (include case reports, case series)",quantitative,interventional,Cohort,Jul-09,Jan-10,urban and rural area in 1 district,kuching district,Clinic,"(W) Pregnancy, childbirth, family planning",NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,Psychological or behavioral
26,Abd Aziz A,2014,Psychometric properties of the 'Skala Kepuasan Interaksi Perubatan-11' to measure patient satisfaction with physician-patient interaction in Malaysia.,Abd Aziz A,Universiti Sains Malaysia,Malaysia,,,Other biomedicals,not stated,5,2,0,0,2,Family practice,international - out of asia,Specific- discpline-specific,1,research protocol,Health services,"Primary (include case reports, case series)",quantitative,psychometric study,Cross-sectional,2013,2013,1 primary health clinic HUSM,husm,Clinic,(P) Psychological,NA,Subjective- self-report,,No intervention
27,Abd Rashid R,2019,"The Prevalence of Smoking, Determinants and Chance of Psychological Problems among Smokers in an Urban Community Housing Project in Malaysia.",Sharmilla Kanagasundram,University of Malaya,Malaysia,,,Psychiatry,master (mmed),10,2,1,0,4,International journal of environmental research and public health.,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,03-Feb-12,29-Nov-12,4 community housing (PPR),"lembah pantai ,kl",Community,(P) Psychological,(Z) Social problems,Subjective- self-report,,No intervention
28,Abd.Rahman M,2017,Adherence to Clinical Practice Guidelines (CPG) management of dengue infection in adults (revised 2nd edition),Abqariyah Yahya,"Julius Centre University Malaya,Department of Social and Preventive Medicine, Faculty of Medicine,University Malaya, Kuala Lumpur, Malaysia",Malaysia,,,Public health,not stated,20,8,0,0,6,PLOS ONE,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Jan-14,Jun-15,"3 states Selangor, Putrajaya and Kuala Lumpur",combined clinic and hospital,Hospital,(A) General and unspecified,NA,Subjective- other's report,,No intervention
29,Abdul Latif R,2013,Risk and associated factors of female sexual orgasmic disorder in women with hypertension in Malaysia,Chong Guan Ng,"Department of Psychological Medicine, Faculty of Medicine, University Malaya, Lembah Pantai 50603, Kuala Lumpur",Malaysia,,,Psychiatry,phd (non-clinician),8,3,0,0,4,Asia-Pacific psychiatry,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Jan-11,May-11,1 HUSM,malaysia,Clinic,(X) Female genital system and breast,(K) Circulatory,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
30,Abdul Talip L S,2004,CT scan in minor head injury: a guide for rural doctors,Dr. J. Abdullah,Universiti Sains Malaysia,Malaysia,,,Surgery,phd (clinician),6,1,0,0,3,Journal of Clinical Neuroscience,international - out of asia,Specific- discpline-specific,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Jan-99,Jun-01,1 HUSM,malaysia,Hospital,(N) Neurological,NA,Subjective- self-report,Objective- operator dependence,No intervention
31,Abdullah D,2016,Knowledge of managing avulsed tooth among general dental practitioners in Malaysia.,Soo Suet Yeo,"Department of Operative Dentistry, Faculty of Dentistry, University Kebangsaan Malaysia, Jalan Raja Muda Abdul Aziz, 50300 Kuala Lumpur,",Malaysia,,,Other biomedicals,not stated,3,1,0,0,1,Singapore dental journal.,regional - within asia,Specific- discpline-specific,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Jan-10,2016,1 conference,malaysia,University/college/teaching centre,(A) General and unspecified,NA,Subjective- self-report,,No intervention
32,Abdulrahman SA,2017,"Sociodemographic profile and predictors of outpatient clinic attendance among HIV-positive patients initiating antiretroviral therapy in Selangor, Malaysia.",Lekhraj Rampal,Universiti Putra Malaysia,Malaysia,,,Public health,phd (non-clinician),6,3,1,0,3,Patient preference and adherence,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,interventional,RCT - Randomized controlled trial,Jan-14,Dec-14,1 Hospital Sg Buloh,selangor,Clinic,(A) General and unspecified,(Z) Social problems,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,Psychological or behavioral
33,AE Tan,2008,Intravenous iron-sucrose complex for treatment of iron deficiency anaemia in pregnancy - experience in an obstetric day care clinic in a tertiary hospital.,AE Tan,Universiti Kebangsaan Malaysia,Malaysia,,,O&G,not stated,2,1,0,0,2,Medicine and Health,local - malaysia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,diagnostic,Cross-over,Mar-03,Aug-14,1,ukmmc,Hospital,(X) Female genital system and breast,NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
34,AH Abdulameer,2017,An Assessment of Osteoporotic Conditions among Users and Non-Users of Warfarin: A Case-Control Study,Aseel Hadi Abdulameer,Universiti Sains Malaysia,Malaysia,,,Pharmacy,phd (non-clinician),3,2,1,0,2,Journal of Clinical and Diagnostic Research,regional - within asia,Specific- discpline-specific,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Case-control,Nov-13,Jul-14,1 Hospital Pulau Pinang,pulau pinang,Hospital,(L) Musculoskeletal,NA,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,No intervention
35,AHH Narimah,2007,A pilot study on comparison of body composition and general health among the urban and rural populations in Malaysia,AHH Narimah,Universiti Teknologi MARA,Malaysia,"Faculty of Meidicne, Mahsa University, Kuala Lumpur",Malaysia,Other biomedicals,phd (non-clinician),6,2,,0,14,Malaysian Journal of Public Health Medicine,local - malaysia,Specific- discpline-specific,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2006,2006,6,clinic,Perak and Selangor,"(T) Endocrine, metabolic and nutritional",NA,,Objective- non-operator-dependence eg. lab analyser,No intervention
36,AHH Narimah,2006,A descriptive cross sectional study on patient satisfaction in a private hospital in Selangor,AHH Narimah,Universiti Teknologi MARA,Malaysia,Universiti Teknologi MARA,Malaysia,Other biomedicals,phd (non-clinician),6,2,,0,14,Malaysian Journal of Public Health Medicine,local - malaysia,Specific- discpline-specific,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2006,2006,1,hospital,Selangor,(P) Psychological,NA,,Objective- non-operator-dependence eg. lab analyser,Health services
37,AK Tan,2010,The two-minute approach to monocular diplopia.,AK Tan,Universiti Kebangsaan Malaysia,malaysia,"Department of Ophthalmology, Faculty of Medicine and Health Sciences, Universiti Malaysia Sarawak (UNIMAS), Sarawak,",Malaysia,Eye,master (mmed),2,2,0,0,2,Malaysian Family Physician,local - malaysia,Specific- discpline-specific,1,research - original and reviews,Clinical,Secondary (review),others,diagnostic test,Secondary data retrieval,2010,2010,1,hospital,Kuala Lumpur,(F) Eye,NA,,,No intervention
38,AK Zulkarnain,2011,Psychological Insulin Resistance (PIR) Among Type 2 Diabetes Patients at Public Health Clinics in Federal Territory of Malaysia,Nur Azmiah Zainuddin,"Institute for Health Systems Research, Jalan Rumah Sakit Bangsar",Malaysia,,,Public health,"master (non-mmed) eg. mrcp, etc.",3,2,,0,2,International Medical Journal Malaysia,local - malaysia,General- multidiscplinary,2,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2009,2009,2,clinic,Kuala Lumpur and Putrajaya,"(T) Endocrine, metabolic and nutritional",(P) Psychological,,,No intervention
39,AKG Tan,2018,Body Weight and Physical Activity of Adolescents in Malaysia,AKG Tan,Universiti Sains Malaysia,malaysia,,,Other biomedicals,not stated,4,5,3,4,4,International Health,international - out of asia,General- multidiscplinary,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,2012,2012,multi,community,School,"(T) Endocrine, metabolic and nutritional",(Z) Social problems,Subjective- self-report,,No intervention
40,Aman Z,2019,The impact of caregiving on caregivers of older persons and its associated factors: a cross-sectional study,Prof Dr Ee Ming Khoo,University of Malaya,Malaysia,,,Family medicine,"master (non-mmed) eg. mrcp, etc.",5,3,1,1,2,Singapore medical journal,regional - within asia,Specific- discpline-specific,1,research - original and reviews,Public health,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Oct-13,Dec-13,1 primary urban care clinic,selangor,Clinic,(Z) Social problems,NA,Subjective- self-report,,No intervention
41,Ambak R,2014,Food label reading and understanding among obese adults: a population study in Malaysia.,Rashidah Ambak,"Institute for Public Health, Jalan Bangsar, 50590 Kuala Lumpur, Malaysia.",Malaysia,,,Not stated,not stated,6,1,0,0,,International Journal of Public Health Research,local - malaysia,General- multidiscplinary,1,research - original and reviews,Public health,Primary (include case reports),quantitative,prevalence,Cross-sectional,2006,2006,,malaysia,Community,(P) Psychological,"(T) Endocrine, metabolic and nutritional",Subjective- self-report,Objective- operator dependence,No intervention
42,AR Norazida,2014,Cough and Cold Medication in Children: A Public Health Concern,Sivasampu S,CLinical Research Centre,Malaysia,,,Public health,master (mmed),3,2,0,0,2,Medical Journal of Malaysia,local - malaysia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,Dec-09,Apr-10,150 public & 1495 private clinics,malaysia,Clinic,(R) Respiratory,NA,Subjective- self-report,,No intervention
43,AR Tariq,1992,Dose requirement and effect of nicardipine on lipid profile in mild to moderate essential hypertensives.,AR Tariq,Universiti Kebangsaan Malaysia,Malaysia,,,Internal Medicine,md (postgraduate),4,1,0,0,1,Medical Journal Malaysia,local - malaysia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,interventional,RCT - Randomized controlled trial,1992,1992,1,ukmmc,hospital,"(T) Endocrine, metabolic and nutritional",(K) Circulatory,Subjective- self-report,Objective- non-operator-dependence eg. lab analyser,Drug
44,AR Yong Rafidah,2007,Notes for the Primary Care Teachers TEACHING DOCTOR-PATIENT COMMUNICATION IN FAMILY MEDICINE,AR Yong Rafidah,"Faculty of Medicine, Cyberjaya University College of Medical Sciences, 63000 Cyberjaya, Selangor,",Malaysia,,,Family medicine,phd (non-clinician),1,1,0,0,1,Malaysian Family Physician,local - malaysia,General- multidiscplinary,1,research - original and reviews,Education,Opinion,qualitative,interventional,Secondary data retrieval,2007,2007,,,University/college/teaching centre,(A) General and unspecified,NA,Subjective- other's report,,No intervention
45,AR Yong Rafidah,2011,The influence of self-owned home blood pressure monitoring (HBPM) on primary care patients with hypertension: A qualitative study,Adina Abdullah,University of Malaya,Malaysia,,,Family medicine,master (mmed),2,1,0,0,1,BMC family practice,international - out of asia,Specific- discpline-specific,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",qualitative,prevalence,Cross-sectional,2011,2011,1 urban primary care clinic,kuala lumpur,Hospital,(K) Circulatory,(Z) Social problems,Subjective- self-report,,No intervention
47,AS Ramli,2010,Management of Chronic Heart Failure in Primary Care: What Evidence do we have for Heart Failure with Preserved Systolic Function?,AS Ramli,"Family Medicine Specialist, Faculty of Medicine, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",Malaysia,,,Family medicine,"master (non-mmed) eg. mrcp, etc.",5,3,,2,3,Malaysian Family Physician,local - malaysia,General- multidiscplinary,1,commentary,Clinical,Secondary (review),quantitative,interventional,Secondary data retrieval,2010,2010,1,,Clinic,(K) Circulatory,NA,,,No intervention
48,AS Ramli,2010,Prescribing of Antihypertensive Agents in Public Primary Care Clinics – is it in Accordance with Current Evidence?,AS Ramli,"Family Medicine Specialist, Faculty of Medicine, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",Malaysia,,,Family medicine,"master (non-mmed) eg. mrcp, etc.",8,3,,0,2,Malaysian Family Physician,local - malaysia,General- multidiscplinary,1,research - original and reviews,Clinical,"Primary (include case reports, case series)",quantitative,prevalence,Cross-sectional,May-09,Jun-09,2,selangor,Clinic,(K) Circulatory,NA,Subjective- other's report,,No intervention
49,AS Ramli,2008,Managing Chronic Diseases in the Malaysian Primary Health Care – a Need for Change,AS Ramli,"Family Medicine Specialist, Faculty of Medicine, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",Malaysia,,,Family medicine,"master (non-mmed) eg. mrcp, etc.",2,2,,0,1,Malaysian Family Physician,local - malaysia,General- multidiscplinary,1,commentary,Clinical,Secondary (review),quantitative,interventional,,2008,2008,,,,"(T) Endocrine, metabolic and nutritional",NA,,,No intervention
50,AS Ramli,2008,Chronic disease management in primary care - a review of evidence,AS Ramli,"Family Medicine Specialist, Faculty of Medicine, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia",Malaysia,,,Family medicine,"master (non-mmed) eg. mrcp, etc.",1,1,,0,1,Medical Health & Reviews,international - out of asia,General- multidiscplinary,1,commentary,Clinical,Secondary (review),others,prevalence,,2008,2008,,,,"(T) Endocrine, metabolic and nutritional",NA,,,No intervention
